post_id	title	benefit_text	gor_sa_har_text	featured_image_url	featured_image_path
287583	Spenatsoppa med rostade pumpafrön	Spenatsoppa med rostade pumpafrön är en krämig och näringsrik rätt med en touch av ingefära och sriracha.	Skala och riv vitlök och ingefära. Hetta upp en kastrull och bryn vitlök och ingefära. Lägg i spenat och vatten och låt koka upp. Skölj bönor och lägg dem i kastrullen tillsammans med kokosmjölk. Låt koka upp och krydda med srirashasås, salt och peppar. Mixa soppan slät med en stavmixer. Hetta upp en stekpanna. Torrosta pumpafrön tills de får färg. Tillsätt salt och honung och ta bort stekpannan från värmen. Häll upp soppa i skålar och toppa med rostade pumpafrön och kokosskivor. Dekorera med persiljekvistar.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_0486.jpg	data/images/Spenatsoppa med rostade pumpafron.jpg
287585	Macka med ost	Kombinationen av fiber, protein och vitaminer ger energi och håller dig mätt längre!	Bred på smör på brödet och lägg på ostskiva och paprikaringar.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_9813.jpg	data/images/Macka med ost.jpg
287581	Grön juice	En frisk och uppfriskande grön juice fylld med antioxidanter och vitaminer, perfekt för att ge energi och stärka immunförsvaret.	Lägg spenat i en blender. Skär selleri, apelsin och gurka i bitar. Lägg ner i blendern tillsammans med ingefära och limesaft. Mixa och späd med vatten till en jämn smoothie. Häll upp på glas.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_1390.jpg	data/images/Gron juice.jpg
287579	Stekt ägg med champinjoner	En enkel och proteinrik frukost med stekta ägg och smakrika champinjoner, serverad med en klick sötstark senap för extra smak.	Dela champinjoner på hälften. Hetta upp en stekpanna med smör. Lägg i champinjonerna och låt steka tills de fått en fin färg. Dra champinjonerna åt sidan i stekpannan. Knäck i ägg och låt steka på svag tills vitan har stelnat. Lägg upp ägg och champinjoner på en tallrik. Lägg på en klick senap. Dekorera med en persiljekvist.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_0028.jpg	data/images/Stekt agg med champinjoner.jpg
287577	Ägghack i salladsblad	En fräsch och krämig ägghackssallad serverad i romansalladsblad, toppad med dill och saftiga cocktailtomater.	Skala och hacka ägg grovt. Hacka dill. Lägg i en skål och blanda ner majonnäs, salt och peppar. Dela cocktail tomater i 4 delar. Lägg romansalladsblad på en tallrik och lägg på ägghack. Strö på dill. Servera med cocktailtomater och dekorera med dillkvistar.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_0877.jpg	data/images/Agghack i salladsblad.jpg
287575	Overnightoats med morot	En krämig och näringsrik overnight oats med smak av morotskaka, där kanel, valnötter och russin ger en härlig smakupplevelse.	Blanda alla ingredienserna till gröten i en bunke. Sätt på ett lock och ställ in i kylskåpen över natten. Ta gröten ur kylen och rör om väl. Grovhacka valnötter. Placera strimlad morot i botten på ett glas eller en liten skål (spara lite till topping). Tillsätt gröten och toppa med russin, valnötter och resterande strimlad morot. Strö på lite kanel.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_0344.jpg	data/images/Overnightoats med morot.jpg
287573	Yoghurt med bovetegranola och frukt	En bra balans av protein, hälsosamma fetter och fibrer. Perfekt för en energifylld start på dagen!	Häll yoghurt i en skål. Skär frukten i bitar och lägg över tillsammans med bovetegranola. 1 portion bovetegranola = cirka 0,75 dl.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_0411.jpg	data/images/Yoghurt med bovetegranola och frukt.jpg
287571	Smoothiebowl med mango och pistagenötter	En krämig och näringsrik smoothiebowl med tropisk mango, proteinrik yoghurt och hälsosamma fetter från pistagenötter och hampafrön.	Mixa fryst mango, banan, havregryn, yoghurt och agavesirap till en tjock smoothie i en blender eller med en stavmixer. Häll upp smoothie i skålar. Skär mango i små kuber. Hacka pistagenötter. Toppa med mangobitar, pistagenötter, hampafrön och granatäpplekärnor.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_0784-kopia.jpg	data/images/Smoothiebowl med mango och pistagenotter.jpg
287508	Bovetegranola	Denna glutenfria granola är full av fibrer, hälsosamma fetter och långsam energi, perfekt för en balanserad frukost eller som topping på yoghurt och smoothie bowls!	Sätt ugnen på 200 grader. Lägg bovete i en skål med kokande vatten i 10 min. Häll av vattnet och skölj bovetet. Lägg bovete, havregryn, nötter och frön på en ugnsplåt. Strö på salt och vaniljsocker. Hetta upp kokosolja i en kastrull och tillsätt honung. Höll allt över plåten och blanda om ordentligt. Sätt in plåten i ugnen i 20 minuter. Rör om då och då så inget bränns. Blanda ner kokos och torkad papaya.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_0168.jpg	data/images/Bovetegranola.jpg
287562	Citronkaka med äpple och kardemumma	En perfekt kombination av sötma, syra och kryddig värme – samtidigt näringsrik och fiberrik!	Sätt ugnen på 200 grader. Klä botten av en springformmed bakplåtspapper. (Ca 25 cm) Smält smöret. Tillsätt alla torra ingredienser. Rör ihop till en smulig deg. Tryck ut degen i springformen och tryck upp kanterna. Grädda i mitten av ugnen i 15 minuter. Låt svalna i kylskåpet i 10 minuter. Vispa havregrädde. Blanda ihop lemoncurd, färskost, citronzest och kardemumma. Ta ut botten ur kylen och bred ut fyllningen. Skär äpple i tunna skivor. Dekorera med skivat äpple och kardemumma.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_0717.jpg	data/images/Citronkaka med apple och kardemumma.jpg
287560	Entrecote med haricots verts och bearnaisesås	Denna rätt är full av högkvalitativt protein, hälsosamma fetter och viktiga näringsämnen!	Skölj haricots verts och skär bort ändarna om det behövs. Koka upp vatten med lite salt i en kastrull och lägg i haricots verts. Låt koka i cirka 3-5 minuter. Lägg entrecote på en skärbräda och strö salt, peppar och örtagårdskrydda på båda sidorna av köttet. Hetta upp en stekpanna med smör och stek köttet på hög värme i cirka 2-3 minuter på varje sida. Lägg upp entrecoten på tallrikar och låt vila i någon minut. Servera köttet med haricots verts och bearnaisesås.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_9991.jpg	data/images/Entrecote med haricots verts och bearnaisesas.jpg
287558	Köttfärsbiffar med mozzarella och tomatsallad	Saftiga köttfärsbiffar fyllda med smält mozzarella och soltorkade tomater, serverade med en fräsch tomatsallad med fänkål och basilika. Pumpakärnor och rucola ger extra näring och krispighet.	Sätt ugnen på 200 grader. Lägg nötfärs i en skål. Skala och finhacka rödlök. Finhacka basilika. Strimla hälften av de soltorkade tomaterna. Blanda ner rödlök, basilika och soltorkade tomater. Strö på örtagårdskrydda, salt och peppar. Dela upp färsblandningen i fyra lika stora delar och forma till biffar. Lägg biffarna på en ugnsplåt med bakplåtspapper. Dela mozzarella i 4 lika stora delar. Skär resterande soltorkade tomater på mitten. Gör ett litet jack i varje biff och tryck i en bit mozzarella och en bit soltorkat tomat i varje biff. Ställ in biffarna i ugnen i cirka 20 minuter. Skär tomat i klyftor. Skiva fänkål tunt. Skala och hacka rödlök i tunna klyftor. Finhacka basilika. Lägg tomat, fänkål, rödlök och basilika i en skål. Tillsätt olivolja, äppelcidervinäger och honung. Strö på salt och peppar. Servera köttfärsbiffar på en bädd av rucolasallad. Toppa med pumpakärnor. Servera med tomatsallad.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_0407.jpg	data/images/Kottfarsbiffar med mozzarella och tomatsallad.jpg
287556	Laxgratäng med broccoli och scampi	Full av omega-3, antioxidanter och hälsosamma fetter, vilket gör den till en näringsrik och mättande rätt.	Tina scampi. Sätt ugnen på 200 grader. Skär lax i mindre bitar och strö på salt och peppar. Skala och riv vitlök. Skala och grovhacka lök. Finhacka chili och persilja. Skär broccoli i mindre buketter. Dela brysselkål på hälften. Hetta upp en kastrull med olja och bryn lök, vitlök och chili i någon minut. Tillsätt kokosmjölk, vatten och pepparrot. Låt koka upp och blanda ner broccoli och brysselkål. Smaka av med salt och peppar. Blanda ner persilja och häll blandningen i en ugnsform. Lägg på scampi och lax. Strö på riven ost. Gratinera i ugnen i 15 minuter.	https://functionalfoods.se/wp-content/uploads/2025/03/IMG_9867.jpg	data/images/Laxgratang med broccoli och scampi.jpg
