Dag;Måltid;Plan-namn;Bas-namn;Match;Metod;PPTX-exempel
"Måndag";"breakfast";"Yoghurt med ketomüsli (378 kcal)";"Yoghurt med ketomüsli";"MATCH";"contains";"Yoghurt med ketomüsli – 1 portion 1 dl grekisk yoghurt, 10% ¾ dl ketomüsli Lägg yoghurt i en skål och lägg på ketomüsli ."
"Måndag";"lunch";"Tonfisksallad med äpple (443 kcal)";"Tonfisksallad med äpple";"MATCH";"contains";"Fisk"
"Måndag";"dinner";"Squashspagetti med köttfärssås (337 kcal)";"Squashspagetti med köttfärssås";"MATCH";"contains";"Squashspagetti med köttfärssås – 2 portioner 1 tsk olivolja salt och svartpeppar 300 g nötfärs ½ gul lök 1 liten finhackad vitlöksklyfta 1 morot 1 stjälkselleri 200 g konserverade krossade tomater (200 g) ½ msk stark chilisås 1 krm torkade örter 1 squash 1 basilikakvist Skala moroten och skär i tärningar. Skär selleri i små tärningar. Hetta upp en stekpanna med olivolja. Stek nötfärsen i några minuter. Strö på salt och peppar. Tillsätt lök, vitlök, morot och selleri och stek i ytterligare några minuter. Rör ner krossade tomater, chilisås och örtkryddor. Låt köttfärssåsen koka ihop i cirka 20 minuter. Svarva squash till spagetti eller använd en potatisskalare och hyvla till tagliatelle. Lägg squashen på en tallrik och häll över köttfärssås. Dekorera med basilika."
"Tisdag";"breakfast";"Stekt ägg med lax (286 kcal)";"Stekt ägg med lax";"MATCH";"contains";"Stekt ägg med lax – 1 portion 1 tsk smör 2 ägg Salt och svartpeppar 50 g kallrökt lax Persilja och citronklyfta Hetta upp en stekpanna med smör och knäck ner äggen. Låt steka några minuter och strö på salt och peppar. Lägg upp på en tallrik och lägg lax bredvid. Dekorera med persilja och citron."
"Tisdag";"lunch";"Squashspagetti med köttfärssås (337 kcal) rester";"Squashspagetti med köttfärssås";"MATCH";"contains";"Squashspagetti med köttfärssås – 2 portioner 1 tsk olivolja salt och svartpeppar 300 g nötfärs ½ gul lök 1 liten finhackad vitlöksklyfta 1 morot 1 stjälkselleri 200 g konserverade krossade tomater (200 g) ½ msk stark chilisås 1 krm torkade örter 1 squash 1 basilikakvist Skala moroten och skär i tärningar. Skär selleri i små tärningar. Hetta upp en stekpanna med olivolja. Stek nötfärsen i några minuter. Strö på salt och peppar. Tillsätt lök, vitlök, morot och selleri och stek i ytterligare några minuter. Rör ner krossade tomater, chilisås och örtkryddor. Låt köttfärssåsen koka ihop i cirka 20 minuter. Svarva squash till spagetti eller använd en potatisskalare och hyvla till tagliatelle. Lägg squashen på en tallrik och häll över köttfärssås. Dekorera med basilika."
"Tisdag";"dinner";"Het ratatouille (157 kcal)";"Het ratatouille";"MATCH";"contains";"Het ratatouille – 2 portioner ½ rödlök ¼ squash ½ paprika 1 morot 200 g blomkål ½ msk olivolja att steka i 1 vitlöksklyfta 200 g konserverade krossade tomater ½ krm chiliflakes 1 tsk flytande honung 1 tsk torkade örter salt och svartpeppar 3 dl rucolasallad Skär rödlök, squash och paprika i bitar. Dela moroten i bitar. Dela blomkålen i små buketter. Riv vitlöken fint. Hetta upp en stekpanna med olivolja och fräs grönsakerna ihop med vitlök i några minuter. Blanda ner krossade tomater, chiliflakes och honung. Krydda med torkade örter, salt och peppar .Låt puttra i 10 minuter. Lägg upp på en tallrik eller lägg i en lunchbox och servera med rucolasallad."
"Onsdag";"breakfast";"Grön juice (133 kcal)";"Grön juice";"MATCH";"override(image-cell)";""
"Onsdag";"lunch";"Pokébowl med kyckling (350 kcal)";"Pokébowl med kyckling";"MATCH";"contains";"Kyckling"
"Onsdag";"dinner";"Köttfärsbiffar med stekt blomkål (355 kcal)";"Köttfärsbiffar med stekt blomkål";"MATCH";"contains";"Kött"
"Torsdag";"breakfast";"Omelett med tomat (240 kcal)";"Omelett med tomat";"MATCH";"contains";"Omelett med tomat - 1 portion 2 ägg salt och svartpeppar 1 tsk olivolja 1 tomat 1 persiljekvist Vispa ihop ägg, salt och peppar i en skål. Stek omeletten några minuter i olivolja. Lägg på ett fat. Skär tomaten i bitar och lägg över. Dekorera persilja."
